District,Total Positive,Discharged,Active,Death,Date
Dindigul,32332,31557,147,628,12-08-2021
Erode,95726,93367,1718,641,12-08-2021
Kallakurichi,29557,28902,456,199,12-08-2021
Kancheepuram,72188,70529,446,1213,12-08-2021
Kanyakumari,60476,59122,329,1025,12-08-2021
Karur,22852,22311,190,351,12-08-2021
Krishnagiri,41664,41047,291,326,12-08-2021
Madurai,73747,72369,230,1148,12-08-2021
Mayiladuthurai,21349,20823,255,271,12-08-2021
Nagapattinam,19109,18402,412,295,12-08-2021
Namakkal,47830,46801,570,459,12-08-2021
Nilgiris,31094,30417,491,186,12-08-2021
Perambalur,11586,11258,103,225,12-08-2021
Pudukottai,28560,27832,354,374,12-08-2021
Ramanathapuram,20114,19682,81,351,12-08-2021
Ranipet,42189,41234,210,745,12-08-2021
Salem,94427,91981,844,1602,12-08-2021
Sivagangai,19041,18620,222,199,12-08-2021
Tenkasi,26935,26346,105,484,12-08-2021
Thanjavur,69072,67177,1031,864,12-08-2021
Theni,43047,42415,118,514,12-08-2021
Thirupathur,28420,27641,174,605,12-08-2021
Thiruvallur,114541,111832,942,1767,12-08-2021
Thiruvannamalai,52635,51506,488,641,12-08-2021
Thiruvarur,38372,37551,443,378,12-08-2021
Thoothukudi,55288,54703,187,398,12-08-2021
Tirunelveli,48164,47487,247,430,12-08-2021
Tiruppur,88841,87083,878,880,12-08-2021
Trichy,73281,71546,755,980,12-08-2021
Vellore,48386,46973,315,1098,12-08-2021
Villupuram,44234,43546,347,341,12-08-2021
Virudhunagar,45637,44970,125,542,12-08-2021
AirportSurveillance(International),1019,1012,6,1,12-08-2021
AirportSurveillance(Domestic),1080,1076,3,1,12-08-2021
RailwaySurveillance,428,428,0,0,12-08-2021
Ariyalur,16072,15612,219,241,13-08-2021
Chengalpattu,163491,159908,1169,2414,13-08-2021
Chennai,540739,530289,2098,8352,13-08-2021
Coimbatore,232351,227781,2358,2212,13-08-2021
Cuddalore,61364,59744,798,822,13-08-2021
Dharmapuri,26469,25927,304,238,13-08-2021
Dindigul,32341,31577,136,628,13-08-2021
Erode,95900,93513,1745,642,13-08-2021
Kallakurichi,29603,28958,446,199,13-08-2021
Kancheepuram,72220,70578,427,1215,13-08-2021
Kanyakumari,60504,59151,328,1025,13-08-2021
Karur,22866,22324,191,351,13-08-2021
Krishnagiri,41686,41093,267,326,13-08-2021
Madurai,73769,72390,231,1148,13-08-2021
Mayiladuthurai,21369,20849,247,273,13-08-2021
Nagapattinam,19141,18444,401,296,13-08-2021
Namakkal,47884,46874,550,460,13-08-2021
Nilgiris,31142,30471,485,186,13-08-2021
Perambalur,11592,11274,93,225,13-08-2021
Pudukottai,28596,27856,365,375,13-08-2021
Ramanathapuram,20120,19694,75,351,13-08-2021
Ranipet,42206,41261,200,745,13-08-2021
Salem,94551,92067,881,1603,13-08-2021
Sivagangai,19056,18642,215,199,13-08-2021
Tenkasi,26944,26364,96,484,13-08-2021
Thanjavur,69189,67255,1067,867,13-08-2021
Theni,43058,42429,115,514,13-08-2021
Thirupathur,28428,27660,163,605,13-08-2021
Thiruvallur,114614,111908,937,1769,13-08-2021
Thiruvannamalai,52680,51563,476,641,13-08-2021
Thiruvarur,38406,37579,447,380,13-08-2021
Thoothukudi,55300,54724,178,398,13-08-2021
Tirunelveli,48181,47502,249,430,13-08-2021
Tiruppur,88937,87148,906,883,13-08-2021
Trichy,73358,71615,761,982,13-08-2021
Vellore,48423,46990,335,1098,13-08-2021
Villupuram,44249,43582,326,341,13-08-2021
Virudhunagar,45643,44984,117,542,13-08-2021
AirportSurveillance(International),1019,1012,6,1,13-08-2021
AirportSurveillance(Domestic),1080,1076,3,1,13-08-2021
RailwaySurveillance,428,428,0,0,13-08-2021
Ariyalur,16087,15633,212,242,14-08-2021
Chengalpattu,163608,160001,1193,2414,14-08-2021
Chennai,540971,530503,2112,8356,14-08-2021
Coimbatore,232575,227978,2380,2217,14-08-2021
Cuddalore,61434,59828,784,822,14-08-2021
Dharmapuri,26486,25959,289,238,14-08-2021
Dindigul,32350,31592,130,628,14-08-2021
Erode,96087,93645,1800,642,14-08-2021
Kallakurichi,29632,29012,421,199,14-08-2021
Kancheepuram,72248,70629,404,1215,14-08-2021
Kanyakumari,60534,59174,334,1026,14-08-2021
Karur,22885,22334,200,351,14-08-2021
Krishnagiri,41713,41127,259,327,14-08-2021
Madurai,73786,72416,222,1148,14-08-2021
Mayiladuthurai,21399,20874,251,274,14-08-2021
Nagapattinam,19161,18480,385,296,14-08-2021
Namakkal,47938,46941,536,461,14-08-2021
Nilgiris,31189,30520,482,187,14-08-2021
Perambalur,11597,11285,86,226,14-08-2021
Pudukottai,28618,27875,368,375,14-08-2021
Ramanathapuram,20124,19703,70,351,14-08-2021
Ranipet,42229,41283,200,746,14-08-2021
Salem,94688,92161,922,1605,14-08-2021
Sivagangai,19077,18660,218,199,14-08-2021
Tenkasi,26944,26377,83,484,14-08-2021
Thanjavur,69299,67352,1078,869,14-08-2021
Theni,43070,42437,119,514,14-08-2021
Thirupathur,28442,27676,159,607,14-08-2021
Thiruvallur,114684,111987,928,1769,14-08-2021
Thiruvannamalai,52724,51611,470,643,14-08-2021
Thiruvarur,38449,37605,463,381,14-08-2021
Thoothukudi,55306,54744,164,398,14-08-2021
Tirunelveli,48194,47524,240,430,14-08-2021
Tiruppur,89029,87224,920,885,14-08-2021
Trichy,73428,71686,759,983,14-08-2021
Vellore,48447,47004,342,1101,14-08-2021
Villupuram,44280,43613,324,343,14-08-2021
Virudhunagar,45646,44993,111,542,14-08-2021
AirportSurveillance(International),1019,1012,6,1,14-08-2021
AirportSurveillance(Domestic),1080,1076,3,1,14-08-2021
RailwaySurveillance,428,428,0,0,14-08-2021
Ariyalur,16102,15651,209,242,15-08-2021
Chengalpattu,163727,160097,1215,2415,15-08-2021
Chennai,541194,530724,2111,8359,15-08-2021
Coimbatore,232803,228182,2403,2218,15-08-2021
Cuddalore,61495,59909,764,822,15-08-2021
Dharmapuri,26504,25987,279,238,15-08-2021
Dindigul,32358,31608,122,628,15-08-2021
Erode,96258,93791,1825,642,15-08-2021
Kallakurichi,29670,29063,408,199,15-08-2021
Kancheepuram,72279,70677,387,1215,15-08-2021
Kanyakumari,60562,59200,336,1026,15-08-2021
Karur,22904,22348,205,351,15-08-2021
Krishnagiri,41742,41158,257,327,15-08-2021
Madurai,73797,72441,208,1148,15-08-2021
Mayiladuthurai,21447,20903,270,274,15-08-2021
Nagapattinam,19182,18512,374,296,15-08-2021
Namakkal,47993,47015,517,461,15-08-2021
Nilgiris,31233,30561,485,187,15-08-2021
Perambalur,11604,11293,85,226,15-08-2021
Pudukottai,28644,27888,381,375,15-08-2021
Ramanathapuram,20129,19709,69,351,15-08-2021
Ranipet,42252,41300,206,746,15-08-2021
Salem,94817,92258,949,1610,15-08-2021
Sivagangai,19102,18676,227,199,15-08-2021
Tenkasi,26951,26388,79,484,15-08-2021
Thanjavur,69405,67446,1089,870,15-08-2021
Theni,43080,42447,119,514,15-08-2021
Thirupathur,28447,27690,150,607,15-08-2021
Thiruvallur,114759,112055,934,1770,15-08-2021
Thiruvannamalai,52772,51648,481,643,15-08-2021
Thiruvarur,38485,37626,477,382,15-08-2021
Thoothukudi,55311,54759,154,398,15-08-2021
Tirunelveli,48211,47543,238,430,15-08-2021
Tiruppur,89115,87312,913,890,15-08-2021
Trichy,73489,71764,740,985,15-08-2021
Vellore,48462,47016,343,1103,15-08-2021
Villupuram,44314,43640,330,344,15-08-2021
Virudhunagar,45655,45000,113,542,15-08-2021
AirportSurveillance(International),1019,1014,4,1,15-08-2021
AirportSurveillance(Domestic),1080,1077,2,1,15-08-2021
RailwaySurveillance,428,428,0,0,15-08-2021
Ariyalur,16123,15671,209,243,16-08-2021
Chengalpattu,163834,160249,1169,2416,16-08-2021
Chennai,541402,530959,2080,8363,16-08-2021
Coimbatore,233022,228397,2406,2219,16-08-2021
Cuddalore,61554,59996,733,825,16-08-2021
Dharmapuri,26521,26009,273,239,16-08-2021
Dindigul,32363,31618,117,628,16-08-2021
Erode,96417,93942,1833,642,16-08-2021
Kallakurichi,29701,29102,400,199,16-08-2021
Kancheepuram,72312,70709,387,1216,16-08-2021
Kanyakumari,60596,59228,341,1027,16-08-2021
Karur,22917,22363,203,351,16-08-2021
Krishnagiri,41770,41187,256,327,16-08-2021
Madurai,73808,72460,200,1148,16-08-2021
Mayiladuthurai,21483,20928,281,274,16-08-2021
Nagapattinam,19212,18548,368,296,16-08-2021
Namakkal,48049,47079,509,461,16-08-2021
Nilgiris,31272,30603,481,188,16-08-2021
Perambalur,11610,11304,80,226,16-08-2021
Pudukottai,28687,27905,406,376,16-08-2021
Ramanathapuram,20133,19716,65,352,16-08-2021
Ranipet,42275,41318,211,746,16-08-2021
Salem,94946,92344,991,1611,16-08-2021
Sivagangai,19121,18697,225,199,16-08-2021
Tenkasi,26960,26396,80,484,16-08-2021
Thanjavur,69528,67548,1108,872,16-08-2021
Theni,43086,42460,111,515,16-08-2021
Thirupathur,28451,27708,136,607,16-08-2021
Thiruvallur,114822,112126,925,1771,16-08-2021
Thiruvannamalai,52815,51691,481,643,16-08-2021
Thiruvarur,38522,37652,488,382,16-08-2021
Thoothukudi,55319,54773,148,398,16-08-2021
Tirunelveli,48227,47565,232,430,16-08-2021
Tiruppur,89199,87393,912,894,16-08-2021
Trichy,73550,71837,726,987,16-08-2021
Vellore,48486,47034,349,1103,16-08-2021
Villupuram,44348,43671,332,345,16-08-2021
Virudhunagar,45663,45010,111,542,16-08-2021
AirportSurveillance(International),1020,1014,5,1,16-08-2021
AirportSurveillance(Domestic),1080,1077,2,1,16-08-2021
RailwaySurveillance,428,428,0,0,16-08-2021
Ariyalur,16138,15687,208,243,17-08-2021
Chengalpattu,163945,160395,1130,2420,17-08-2021
Chennai,541616,531173,2076,8367,17-08-2021
Coimbatore,233228,228626,2380,2222,17-08-2021
Cuddalore,61614,60072,717,825,17-08-2021
Dharmapuri,26540,26034,267,239,17-08-2021
Dindigul,32372,31631,111,630,17-08-2021
Erode,96592,94086,1864,642,17-08-2021
Kallakurichi,29733,29145,389,199,17-08-2021
Kancheepuram,72342,70747,377,1218,17-08-2021
Kanyakumari,60627,59252,348,1027,17-08-2021
Karur,22931,22380,200,351,17-08-2021
Krishnagiri,41795,41214,254,327,17-08-2021
Madurai,73820,72478,194,1148,17-08-2021
Mayiladuthurai,21517,20957,286,274,17-08-2021
Nagapattinam,19240,18579,363,298,17-08-2021
Namakkal,48105,47131,513,461,17-08-2021
Nilgiris,31307,30647,471,189,17-08-2021
Perambalur,11617,11313,78,226,17-08-2021
Pudukottai,28724,27933,415,376,17-08-2021
Ramanathapuram,20138,19724,62,352,17-08-2021
Ranipet,42297,41338,212,747,17-08-2021
Salem,95065,92422,1030,1613,17-08-2021
Sivagangai,19140,18720,221,199,17-08-2021
Tenkasi,26965,26408,73,484,17-08-2021
Thanjavur,69643,67666,1104,873,17-08-2021
Theni,43096,42471,110,515,17-08-2021
Thirupathur,28449,27724,117,608,17-08-2021
Thiruvallur,114891,112213,906,1772,17-08-2021
Thiruvannamalai,52861,51730,487,644,17-08-2021
Thiruvarur,38556,37684,488,384,17-08-2021
Thoothukudi,55327,54791,138,398,17-08-2021
Tirunelveli,48248,47584,234,430,17-08-2021
Tiruppur,89268,87481,891,896,17-08-2021
Trichy,73607,71916,702,989,17-08-2021
Vellore,48511,47048,359,1104,17-08-2021
Villupuram,44376,43697,334,345,17-08-2021
Virudhunagar,45667,45016,109,542,17-08-2021
AirportSurveillance(International),1020,1014,5,1,17-08-2021
AirportSurveillance(Domestic),1080,1077,2,1,17-08-2021
RailwaySurveillance,428,428,0,0,17-08-2021
Ariyalur,16153,15700,210,243,18-08-2021
Chengalpattu,164059,160519,1119,2421,18-08-2021
Chennai,541809,531379,2061,8369,18-08-2021
Coimbatore,233442,228860,2355,2227,18-08-2021
Cuddalore,61669,60137,706,826,18-08-2021
Dharmapuri,26563,26060,264,239,18-08-2021
Dindigul,32385,31641,114,630,18-08-2021
Erode,96726,94243,1841,642,18-08-2021
Kallakurichi,29762,29187,376,199,18-08-2021
Kancheepuram,72386,70791,375,1220,18-08-2021
Kanyakumari,60654,59280,347,1027,18-08-2021
Karur,22949,22399,199,351,18-08-2021
Krishnagiri,41825,41238,260,327,18-08-2021
Madurai,73834,72494,191,1149,18-08-2021
Mayiladuthurai,21543,20988,281,274,18-08-2021
Nagapattinam,19273,18606,366,301,18-08-2021
Namakkal,48168,47185,522,461,18-08-2021
Nilgiris,31342,30689,463,190,18-08-2021
Perambalur,11623,11324,73,226,18-08-2021
Pudukottai,28756,27970,410,376,18-08-2021
Ramanathapuram,20144,19731,61,352,18-08-2021
Ranipet,42318,41361,210,747,18-08-2021
Salem,95171,92506,1048,1617,18-08-2021
Sivagangai,19160,18741,220,199,18-08-2021
Tenkasi,26972,26417,71,484,18-08-2021
Thanjavur,69749,67772,1104,873,18-08-2021
Theni,43107,42483,109,515,18-08-2021
Thirupathur,28457,27738,111,608,18-08-2021
Thiruvallur,114959,112304,883,1772,18-08-2021
Thiruvannamalai,52898,51773,479,646,18-08-2021
Thiruvarur,38598,37723,490,385,18-08-2021
Thoothukudi,55338,54806,134,398,18-08-2021
Tirunelveli,48263,47608,225,430,18-08-2021
Tiruppur,89363,87567,896,900,18-08-2021
Trichy,73666,71983,692,991,18-08-2021
Vellore,48536,47066,365,1105,18-08-2021
Villupuram,44413,43722,345,346,18-08-2021
Virudhunagar,45672,45030,100,542,18-08-2021
AirportSurveillance(International),1020,1014,5,1,18-08-2021
AirportSurveillance(Domestic),1080,1077,2,1,18-08-2021
RailwaySurveillance,428,428,0,0,18-08-2021
Ariyalur,16171,15719,209,243,19-08-2021
Chengalpattu,164169,160625,1123,2421,19-08-2021
Chennai,542010,531563,2074,8373,19-08-2021
Coimbatore,233641,229106,2303,2232,19-08-2021
Cuddalore,61719,60200,692,827,19-08-2021
Dharmapuri,26589,26088,261,240,19-08-2021
Dindigul,32396,31653,113,630,19-08-2021
Erode,96868,94406,1820,642,19-08-2021
Kallakurichi,29788,29225,364,199,19-08-2021
Kancheepuram,72421,70840,360,1221,19-08-2021
Kanyakumari,60674,59312,334,1028,19-08-2021
Karur,22963,22415,197,351,19-08-2021
Krishnagiri,41851,41264,260,327,19-08-2021
Madurai,73848,72512,187,1149,19-08-2021
Mayiladuthurai,21567,21022,271,274,19-08-2021
Nagapattinam,19303,18628,374,301,19-08-2021
Namakkal,48221,47236,523,462,19-08-2021
Nilgiris,31374,30735,449,190,19-08-2021
Perambalur,11630,11333,71,226,19-08-2021
Pudukottai,28789,28012,401,376,19-08-2021
Ramanathapuram,20147,19739,56,352,19-08-2021
Ranipet,42344,41378,219,747,19-08-2021
Salem,95267,92582,1067,1618,19-08-2021
Sivagangai,19176,18765,211,200,19-08-2021
Tenkasi,26979,26423,72,484,19-08-2021
Thanjavur,69845,67870,1102,873,19-08-2021
Theni,43116,42490,111,515,19-08-2021
Thirupathur,28461,27751,100,610,19-08-2021
Thiruvallur,115024,112397,855,1772,19-08-2021
Thiruvannamalai,52938,51820,472,646,19-08-2021
Thiruvarur,38630,37768,474,388,19-08-2021
Thoothukudi,55350,54820,132,398,19-08-2021
Tirunelveli,48284,47637,217,430,19-08-2021
Tiruppur,89451,87659,889,903,19-08-2021
Trichy,73722,72045,683,994,19-08-2021
Vellore,48558,47085,367,1106,19-08-2021
Villupuram,44447,43749,352,346,19-08-2021
Virudhunagar,45676,45041,92,543,19-08-2021
AirportSurveillance(International),1020,1014,5,1,19-08-2021
AirportSurveillance(Domestic),1080,1077,2,1,19-08-2021
RailwaySurveillance,428,428,0,0,19-08-2021
Ariyalur,16186,15744,199,243,20-08-2021
Chengalpattu,164273,160719,1133,2421,20-08-2021
Chennai,542198,531730,2094,8374,20-08-2021
Coimbatore,233840,229340,2266,2234,20-08-2021
Cuddalore,61777,60268,679,830,20-08-2021
Dharmapuri,26612,26119,253,240,20-08-2021
Dindigul,32405,31666,109,630,20-08-2021
Erode,97016,94574,1800,642,20-08-2021
Kallakurichi,29814,29261,354,199,20-08-2021
Kancheepuram,72452,70888,343,1221,20-08-2021
Kanyakumari,60701,59346,327,1028,20-08-2021
Karur,22974,22433,190,351,20-08-2021
Krishnagiri,41873,41284,261,328,20-08-2021
Madurai,73860,72533,178,1149,20-08-2021
Mayiladuthurai,21589,21054,261,274,20-08-2021
Nagapattinam,19331,18654,374,303,20-08-2021
Namakkal,48283,47289,531,463,20-08-2021
Nilgiris,31413,30784,438,191,20-08-2021
Perambalur,11634,11341,67,226,20-08-2021
Pudukottai,28819,28063,380,376,20-08-2021
Ramanathapuram,20151,19745,54,352,20-08-2021
Ranipet,42366,41390,228,748,20-08-2021
Salem,95352,92646,1088,1618,20-08-2021
Sivagangai,19195,18793,202,200,20-08-2021
Tenkasi,26988,26430,74,484,20-08-2021
Thanjavur,69937,67966,1098,873,20-08-2021
Theni,43122,42499,108,515,20-08-2021
Thirupathur,28469,27761,98,610,20-08-2021
Thiruvallur,115082,112485,824,1773,20-08-2021
Thiruvannamalai,52973,51874,453,646,20-08-2021
Thiruvarur,38663,37812,461,390,20-08-2021
Thoothukudi,55360,54837,125,398,20-08-2021
Tirunelveli,48310,47661,219,430,20-08-2021
Tiruppur,89528,87757,863,908,20-08-2021
Trichy,73779,72112,670,997,20-08-2021
Vellore,48586,47107,373,1106,20-08-2021
Villupuram,44479,43779,353,347,20-08-2021
Virudhunagar,45684,45055,86,543,20-08-2021
AirportSurveillance(International),1020,1015,4,1,20-08-2021
AirportSurveillance(Domestic),1081,1077,3,1,20-08-2021
RailwaySurveillance,428,428,0,0,20-08-2021
Ariyalur,16203,15770,190,243,21-08-2021
Chengalpattu,164373,160817,1135,2421,21-08-2021
Chennai,542378,531883,2120,8375,21-08-2021
Coimbatore,234046,229566,2244,2236,21-08-2021
Cuddalore,61833,60340,663,830,21-08-2021
Dharmapuri,26633,26152,241,240,21-08-2021
Dindigul,32413,31677,106,630,21-08-2021
Erode,97158,94748,1768,642,21-08-2021
Kallakurichi,29838,29300,339,199,21-08-2021
Kancheepuram,72483,70934,328,1221,21-08-2021
Kanyakumari,60726,59382,315,1029,21-08-2021
Karur,22987,22448,188,351,21-08-2021
Krishnagiri,41893,41306,259,328,21-08-2021
Madurai,73872,72550,173,1149,21-08-2021
Mayiladuthurai,21612,21082,256,274,21-08-2021
Nagapattinam,19370,18683,383,304,21-08-2021
Namakkal,48332,47346,521,465,21-08-2021
Nilgiris,31450,30835,423,192,21-08-2021
Perambalur,11640,11347,67,226,21-08-2021
Pudukottai,28844,28117,348,379,21-08-2021
Ramanathapuram,20154,19752,50,352,21-08-2021
Ranipet,42387,41408,230,749,21-08-2021
Salem,95439,92707,1111,1621,21-08-2021
Sivagangai,19217,18816,201,200,21-08-2021
Tenkasi,26996,26439,73,484,21-08-2021
Thanjavur,70027,68054,1099,874,21-08-2021
Theni,43127,42504,108,515,21-08-2021
Thirupathur,28483,27773,98,612,21-08-2021
Thiruvallur,115142,112566,803,1773,21-08-2021
Thiruvannamalai,53005,51922,436,647,21-08-2021
Thiruvarur,38706,37858,458,390,21-08-2021
Thoothukudi,55373,54852,123,398,21-08-2021
Tirunelveli,48325,47691,204,430,21-08-2021
Tiruppur,89606,87844,851,911,21-08-2021
Trichy,73833,72177,658,998,21-08-2021
Vellore,48610,47132,372,1106,21-08-2021
Villupuram,44522,43813,362,347,21-08-2021
Virudhunagar,45690,45067,80,543,21-08-2021
AirportSurveillance(International),1020,1015,4,1,21-08-2021
AirportSurveillance(Domestic),1081,1077,3,1,21-08-2021
RailwaySurveillance,428,428,0,0,21-08-2021
Ariyalur,16217,15793,180,244,22-08-2021
Chengalpattu,164469,160920,1127,2422,22-08-2021
Chennai,542555,532047,2129,8379,22-08-2021
Coimbatore,234244,229778,2229,2237,22-08-2021
Cuddalore,61887,60416,641,830,22-08-2021
Dharmapuri,26656,26183,233,240,22-08-2021
Dindigul,32420,31688,101,631,22-08-2021
Erode,97304,94934,1728,642,22-08-2021
Kallakurichi,29860,29336,325,199,22-08-2021
Kancheepuram,72519,70968,330,1221,22-08-2021
Kanyakumari,60753,59414,310,1029,22-08-2021
Karur,23002,22464,187,351,22-08-2021
Krishnagiri,41911,41320,263,328,22-08-2021
Madurai,73884,72571,164,1149,22-08-2021
Mayiladuthurai,21633,21109,249,275,22-08-2021
Nagapattinam,19415,18707,404,304,22-08-2021
Namakkal,48379,47387,527,465,22-08-2021
Nilgiris,31483,30883,407,193,22-08-2021
Perambalur,11644,11352,65,227,22-08-2021
Pudukottai,28870,28159,331,380,22-08-2021
Ramanathapuram,20156,19756,48,352,22-08-2021
Ranipet,42405,41423,233,749,22-08-2021
Salem,95521,92771,1128,1622,22-08-2021
Sivagangai,19236,18835,201,200,22-08-2021
Tenkasi,27002,26445,73,484,22-08-2021
Thanjavur,70135,68137,1122,876,22-08-2021
Theni,43136,42511,110,515,22-08-2021
Thirupathur,28494,27786,96,612,22-08-2021
Thiruvallur,115207,112661,770,1776,22-08-2021
Thiruvannamalai,53047,51968,432,647,22-08-2021
Thiruvarur,38743,37909,443,391,22-08-2021
Thoothukudi,55384,54870,115,399,22-08-2021
Tirunelveli,48338,47716,192,430,22-08-2021
Tiruppur,89676,87916,847,913,22-08-2021
Trichy,73884,72245,640,999,22-08-2021
Vellore,48636,47171,359,1106,22-08-2021
Villupuram,44556,43857,352,347,22-08-2021
Virudhunagar,45695,45077,75,543,22-08-2021
AirportSurveillance(International),1020,1015,4,1,22-08-2021
AirportSurveillance(Domestic),1081,1079,1,1,22-08-2021
RailwaySurveillance,428,428,0,0,22-08-2021
Ariyalur,16229,15813,170,246,23-08-2021
Chengalpattu,164564,161025,1117,2422,23-08-2021
Chennai,542729,532251,2095,8383,23-08-2021
Coimbatore,234444,229988,2215,2241,23-08-2021
Cuddalore,61939,60495,614,830,23-08-2021
Dharmapuri,26678,26219,219,240,23-08-2021
Dindigul,32428,31693,104,631,23-08-2021
Erode,97438,95123,1673,642,23-08-2021
Kallakurichi,29880,29361,320,199,23-08-2021
Kancheepuram,72553,71000,330,1223,23-08-2021
Kanyakumari,60779,59451,299,1029,23-08-2021
Karur,23017,22475,191,351,23-08-2021
Krishnagiri,41928,41343,257,328,23-08-2021
Madurai,73894,72588,156,1150,23-08-2021
Mayiladuthurai,21654,21131,246,277,23-08-2021
